,word1,word2,tag,BTag,label
202,saw,SIla,K1,K,T
203,sawwva,guNaH,K1,K,T
204,acCa,upasevayA,T6,T,T
205,sa,SiRyeNa,BvS,B,B
206,na,SlAGyam,Tn,T,T
207,grahaNI,gawAH,T2,T,T
208,paFca,rawO,Bvsp,B,B
209,rAma,sahiwaH,T3,T,T
210,nir,arWa,Bvp,B,B
211,jFAna,agniH,K1,K,T
212,Xarma,parAyaNAH,Bs6,B,B
213,sakwa,sAyakam,Bs3,B,B
214,xevakula,XUmena,T6,T,T
215,na,sAXye,Tn,T,T
216,hiwa,kAmena,Bs6,B,B
217,xuRta,sevikA,K1,K,T
218,a,CalAm,Bsmn,B,B
219,Xarma,anuSAsanam,T6,T,T
220,janiwa,prakopaH,Bs6,B,B
221,cara,acaram,DiV,D,D
222,brahma,BUwaH,T2,T,T
223,xvi,jAwiByaH,Bs6,B,B
224,aXika,aXikam,T5,T,T
225,sam,preRiwA,Tp,T,T
226,eka,puwraH,Bs6,B,B
227,pUrNa,bimbam,Bs6,B,B
228,saw,kqwEH,Bs6,B,B
229,saMmawi,lakRaNam,T6,T,T
230,ni,swabXam,Tp,T,T
231,vijiwa,AwmA,Bs3,B,B
232,ari,safGAH,T6,T,T
233,kRINa,koSaH,Bs6,B,B
234,laGu,grAme,K1,K,T
235,parvawa,pqRTam,T6,T,T
236,sa,rakwaM,BvS,B,B
237,Svewa,vAhe,K7,K,T
238,yaWA,sAXyam,A1,A,A
239,sva,sevakAn,T6,T,T
240,bahu,xakRiNEH,Bs6,B,B
241,grahaNa,samarWam,T7,T,T
242,lABa,alABO,DiV,D,D
243,sarva,kAryeRu,K1,K,T
244,xuRta,AwmAna,K1,K,T
245,yajFa,maNdalam,T6,T,T
246,upa,Ayukwasya,T6,T,T
247,vi,XanuRaH,Bs5,B,B
248,Xavala,canxraH,T3,T,T
249,samAroha,pUrvakam,BvS,B,B
250,aBijana,saMpannAH,T6,T,T
251,vipra,kqwAH,T3,T,T
252,praWama,vyavasAyI,K1,K,T
253,lOha,argalAm,K1,K,T
254,kalaha,priyAm,Bs6,B,B
255,na,upasWiwAyAm,Tn,T,T
256,xuRta,AwmA,Bs6,B,B
257,su,muKaH,Bs6,B,B
258,canxra,vakwram,Bs6,B,B
259,xur,AwmAnaH,Bs6,B,B
260,a,prawimaM,Bsmn,B,B
261,sa,balAhakaH,BvS,B,B
262,aSru,locana,Bs6,B,B
263,na,nirIkRiwa,Tn,T,T
264,sixXa,haswaH,Bs6,B,B
265,sa,nivarwanam,BvS,B,B
266,sa,Sramam,BvS,B,B
267,miwa,ojasA,Bs6,B,B
268,sa,mArxavam,BvS,B,B
269,yaWA,xravyaM,A1,A,A
270,XUwa,kalmaRAn,Bs3,B,B
271,kqwA,AwmawuRtiH,Bs3,B,B
272,gqha,nirmiwe,T7,T,T
273,wyakwa,prANAH,Bs3,B,B
274,pra,rUDam,Tp,T,T
275,xur,vyavahAraH,Tp,T,T
276,aviBAga,gawA,T3,T,T
277,sama,buxXayaH,Bs6,B,B
278,awi,kramya,Tg,T,T
279,aBi,asUyawi,A1,A,A
280,Ananxa,magnaH,T7,T,T
281,xurbala,inxriyEH,Bs6,B,B
282,manasa,Ipsiwam,T3,T,T
283,brahma,yoniH,Bs6,B,B
284,sawya,loke,K7,K,T
285,anna,pAnaM,Ds,D,D
286,nIca,xrumA,Bs6,B,B
287,rugNa,SAKam,Bs6,B,B
288,vigawa,saMSayA,Bs5,B,B
289,sa,AkAram,BvS,B,B
290,sikKa,janAnAm,K7,K,T
291,priya,AwiWyAH,Bs6,B,B
292,kRawaja,BojanaH,Bs6,B,B
293,prasannA,AwmA,Bs6,B,B
294,xeha,araNiH,K1,K,T
295,nagaraH,upAnwe,T5,T,T
296,parama,qRiNAM,K1,K,T
297,gOda,viRaye,K7,K,T
298,harixAsa,mahoxayasya,K2,K,T
299,vinivqwwa,kAmAH,Bs5,B,B
300,uxvigna,hqxayaH,Bs6,B,B
301,rakRaNa,Awmakam,Bs7,B,B
302,Awma,mokRaNAw,T5,T,T
303,vexa,niScayAH,Bs6,B,B
304,saMnihiwa,apAyaH,Bs6,B,B
305,sAXu,pramuKaM,T7,T,T
306,vAswavika,kavInAm,K1,K,T
307,kqwa,prajFaM,Bs3,B,B
308,mAsa,xvaye,T6,T,T
309,na,kRaraM,Tn,T,T
310,vyavasAya,AwmikA,Bs6,B,B
311,ugra,caryam,K1,K,T
312,ikRu,xaNdena,T6,T,T
313,nir,ahafkAraH,Bs6,B,B
314,saMSaya,Awmakam,Bs6,B,B
315,karaBa,nisvanAH,BvU,B,B
316,a,pUrvAH,Bsmn,B,B
317,jihvA,nirleKanAni,Bs3,B,B
318,suvarNa,varNA,BvU,B,B
319,siMha,ArUDaH,T7,T,T
320,BUwa,upaGAwaH,T6,T,T
321,vivara,pUrNam,T3,T,T
322,sva,BUmO,T6,T,T
323,wyakwa,upAwwAH,Bs6,B,B
324,sAXu,veSaH,Bs6,B,B
325,waw,avAcyam,T6,T,T
326,SrAxXa,Axi,Bs6,B,B
327,sevA,nivqwweH,T6,T,T
328,prajFA,nABiH,Bs6,B,B
329,Bava,aBavO,DiV,D,D
330,svara,XvaniBiH,T6,T,T
331,kqwa,aparAXaH,Bs3,B,B
332,sa,Safkiwam,BvS,B,B
333,a,prawikUlAn,Tn,T,T
334,krUra,koRTasya,Bs6,B,B
335,hIna,avasWAm,K1,K,T
336,kRuXA,pIdiwena,T3,T,T
337,gqXra,xqRtiH,Bs6,B,B
338,Bojana,Axikam,Bs6,B,B
339,grIRma,anwAn,Bs6,B,B
340,inxriya,arWAH,T6,T,T
341,wri,bIjam,Bvsp,B,B
342,nArAyaNa,Awmakam,Bs6,B,B
343,vqxXa,rAmanAWasya,K1,K,T
344,viRama,iRuNA,Bs6,B,B
345,Srowra,AxiBiH,Bs6,B,B
346,prakoRTa,baxXAm,T7,T,T
347,a,wiWi,Bsmn,B,B
348,parawra,arWam,T7,T,T
349,Almisa,nAma,Bs6,B,B
350,manxa,agnayaH,Bs6,B,B
351,mahAn,raWaH,Bs6,B,B
352,wriH,ahnaH,Bs6,B,B
353,uwpaWa,prawipannasya,T6,T,T
354,na,jAnan,Tn,T,T
355,yajFa,BUmim,T6,T,T
356,sanwavinobA,AKyaH,Bs6,B,B
357,SAnwa,SokaH,Bs6,B,B
358,xaSa,aXipawayaH,K1,K,T
359,saM,sWApya,Tg,T,T
360,asu,niBqwaH,Bs6,B,B
361,parvawa,upamam,Bs6,B,B
362,sa,uwkaNTaM,BvS,B,B
363,sva,varwmani,T6,T,T
364,mUDa,yoniRu,Bs6,B,B
365,maXya,balaM,K1,K,T
366,pUrva,muxrAm,K1,K,T
367,na,xviwIyam,Bsmn,B,B
368,Xarma,pare,Bs6,B,B
369,A,hiNdanwe,Tp,T,T
370,su,caNdAH,K1,K,T
371,vqxXa,pawim,K1,K,T
372,SIwa,cCAyaH,Bs6,B,B
373,miwa,upamam,Bs6,B,B
374,pra,boXanasya,Tp,T,T
375,saMBAviwa,AwmA,Bs3,B,B
376,apara,BAge,K1,K,T
377,a,xakRe,Tn,T,T
378,xasyu,vaXe,T6,T,T
379,sa,hqxaya,BvS,B,B
380,vi,kAryawAM,Tp,T,T
381,rawna,vyavasAyinaH,T6,T,T
382,SarIra,Awmani,Bs6,B,B
383,prahqRta,muxiwaH,K3,K,T
384,yaWA,BAgam,A1,A,A
385,jagaw,wAwam,T6,T,T
386,mAla,AKyam,Bs6,B,B
387,Bavaw,avawaraNena,T6,T,T
388,mahaw,iRvAsaH,Bs6,B,B
389,vepamAna,wanuH,Bs6,B,B
390,xvi,prasqwaM,Bs6,B,B
391,sumahaw,kAryam,A1,A,A
392,awi,mAnavAH,Tp,T,T
393,viRNu,AxInAm,Bs6,B,B
394,mAna,avamAnam,Ds,D,D
395,vixeSi,SAsakeByaH,K1,K,T
396,nir,xoRAn,Bs5,B,B
397,sa,xoRam,T3,T,T
398,yaWA,sWAnam,A1,A,A
399,SaraNa,AgawAyA,T7,T,T
400,vigawa,rogA,Bs5,B,B
401,mahaw,vIryaH,Bs6,B,B
402,ava,sWiwAH,Tp,T,T
403,kalpanA,vilasiwam,T3,T,T
404,kqwa,uxakAH,Bs3,B,B
405,an,AkASam,Bsmn,B,B
406,na,ahaMkAra,Tn,T,T
407,Awma,saMyamaH,T7,T,T
408,sa,arWakAni,T3,T,T
409,campakA,aBiXAnAyAm,Bs6,B,B
410,sWAna,BraRtAH,T5,T,T
411,xvi,wrANi,Bss,B,B
412,waw,mUlAH,Bs6,B,B
413,Agawa,saMBramam,Bs6,B,B
414,BrAMnwa,manA,Bs6,B,B
415,niyawa,caryAM,Bs6,B,B
416,na,kiFcanaH,Bsmn,B,B
417,sawya,pareNa,Bs6,B,B
418,baxXa,haswA,Bs3,B,B
419,Agamana,vqwwam,T6,T,T
420,A,xaSamAw,A1,A,A
421,manxa,buxXIn,Bs6,B,B
422,canxramuKI,nAmikAyE,Bs6,B,B
423,agni,AxO,Bs6,B,B
424,vArwA,upakramam,T6,T,T
425,vajra,BinnaH,T3,T,T
426,SApa,vimukweH,T5,T,T
427,cawur,afgulEH,Km,K,T
428,sa,uxakA,Bsmn,B,B
429,Pala,AhAraH,T6,T,T
430,Bakwa,janAnAm,K1,K,T
431,raNa,ajire,T6,T,T
432,cawur,viXam,Bs6,B,B
433,hawA,aSe,Bs6,B,B
434,Rat,BAgaM,Tds,T,T
435,nir,GqNam,Bvp,B,B
436,kqRNa,sarpam,K1,K,T
437,ni,graheNa,Tp,T,T
438,xvi,guNiwa,Bs6,B,B
439,saMskqwa,CAwraH,T6,T,T
440,moha,kAle,T6,T,T
441,xuRta,mawiH,K1,K,T
442,Asanna,warawAm,T3,T,T
443,hawa,SiRtAH,T6,T,T
444,vara,vixagXena,T3,T,T
445,na,prAsaMgikam,Tn,T,T
446,viSaxa,pravqwwaH,T3,T,T
447,kAma,vihAriNaH,T7,T,T
448,saMkRipwa,rUpam,Bs6,B,B
449,sa,cewanaM,Bv,B,B
450,na,kuwsiwe,Tn,T,T
451,hiwa,ahiwe,DiV,D,D
452,rAma,sugrIvayoH,Ds,D,D
453,agra,viRANAByAm,T1,T,T
454,Agama,sWaH,T7,T,T
455,prAyaSciwwa,viXAnena,T6,T,T
456,wyakwa,upAwwaM,Bs3,B,B
457,pravivikwa,jane,Bs7,B,B
458,xvi,jAwiBiH,Bs6,B,B
459,hawa,prawiBa,K1,K,T
460,amara,prawimAH,Bs6,B,B
461,wrE,vixyAnAM,Bs6,B,B
462,pra,SAsaka,Tp,T,T
463,OxXawya,pUrNam,T3,T,T
464,na,caram,Tn,T,T
465,punarvasu,nakRawram,K7,K,T
466,sa,suKaM,BvS,B,B
467,kqRNa,BaginI,T6,T,T
468,nyaswa,karaH,Bs6,B,B
469,xvi,guNaH,Bs6,B,B
470,nakula,ulUkaM,Ds,D,D
471,hiraNyaka,nAmA,Bs6,B,B
472,wapaH,Xana,Bs6,B,B
473,na,prawyASiwam,Tn,T,T
474,sa,Ananxam,BvS,B,B
475,arXa,samiwAyAH,T3,T,T
476,sam,AyojanIya,Tp,T,T
477,vakra,SikRiwAnAm,T3,T,T
478,paFcan,xaSaByaH,Km,K,T
479,na,kRayyam,Tn,T,T
480,na,prawiRTaM,Bsmn,B,B
481,waw,ugravAxinAm,T6,T,T
482,mahaw,kAryeRu,K1,K,T
483,ava,gAhya,Tg,T,T
484,sa,lAvaNyam,BvS,B,B
485,na,icCan,Tn,T,T
486,maraNa,anwaM,Bs6,B,B
487,a,uwwamAm,Bsmn,B,B
488,gO,SAlAyAm,T6,T,T
489,kqwa,uxyamaH,Bs3,B,B
490,sawya,paraH,T7,T,T
491,sa,AvaraNam,BvS,B,B
492,akRayya,sAyakAn,K1,K,T
493,vEra,agniH,K1,K,T
494,Xarma,praXAnena,Bs6,B,B
495,UrXva,SiKaH,T7,T,T
496,hema,viBURiwAH,T3,T,T
497,aBinanxana,arWam,T4,T,T
498,niyama,anusAram,T6,T,T
499,bali,paSUn,T4,T,T
500,sa,cewanawAm,BvS,B,B
501,an,uwwamam,Bs5,B,B
502,vyakwa,AwmakaM,Bs6,B,B
503,sa,ciwram,BvS,B,B
504,sva,caFcvA,T6,T,T
505,na,kiFciwkarI,Tn,T,T
506,baka,BakwaH,K2,K,T
507,Alepana,arWe,T4,T,T
508,jiwa,inxriyam,Bs3,B,B
509,eka,rasyam,K1,K,T
510,ajA,suwam,T6,T,T
511,wrixiva,saxmanAm,Bs6,B,B
512,wIkRNa,agram,Bs6,B,B
513,iwi,Axaya,Bs6,B,B
514,cala,acalam,DiV,D,D
515,hqxaya,anugawA,T2,T,T
516,Cinna,nAsikAm,Bs6,B,B
517,na,BAginI,Tn,T,T
518,bAhya,Adambarasya,K1,K,T
519,waw,kqwam,T3,T,T
520,naRta,AwapaH,Bs6,B,B
521,kqwwa,haswaH,Bs6,B,B
522,suKiwa,xuHKiwAH,DiV,D,D
523,mqxu,pUrvaM,T3,T,T
524,A,sWAya,Tg,T,T
525,saw,vqwwasya,K1,K,T
526,huwa,agnayaH,Bs3,B,B
527,saha,uxarO,Bs6,B,B
528,ABAra,praxarSanam,T6,T,T
529,kumuxa,AxyAH,Bs6,B,B
530,cawur,akRareRu,Tdt,T,T
531,wanwra,AxIni,Bs6,B,B
532,sa,puwraH,BvS,B,B
533,xuR,kqwIn,K1,K,T
534,sa,Awafkam,BvS,B,B
535,anila,vegam,BvU,B,B
536,su,gawiM,Tp,T,T
537,laGu,AkAram,K1,K,T
538,SApa,mukwaH,T5,T,T
539,kqwa,AwmaBiH,Bs6,B,B
540,paxArWa,anAnwara,T6,T,T
541,su,spaRtam,Tp,T,T
542,SEla,woraNam,Bs6,B,B
543,labXa,vixya,Bs3,B,B
544,moha,vaSaM,T6,T,T
545,maha,uwsAhaH,Bs6,B,B
546,sa,nAWA,BvS,B,B
547,praBUwa,mawsye,Bs7,B,B
548,maXya,xeSIyaH,K1,K,T
549,xur,mawiM,Bs6,B,B
550,vinipAwa,anwA,Bs6,B,B
551,iRur,lipwaH,T3,T,T
552,na,anyena,Bsmn,B,B
553,wax,karwanam,K1,K,T
554,vi,kiran,Tp,T,T
555,sarva,lokAn,K1,K,T
556,jala,rUpam,Bs6,B,B
557,a,xoREH,Bsmn,B,B
558,SAnwi,pUrvakam,Bs5,B,B
559,a,jFAnam,Tn,T,T
560,upa,cacAra,Tp,T,T
561,xina,maNi,T6,T,T
562,na,wvariwam,Tn,T,T
563,gupwA,AwmA,Bs6,B,B
564,loBa,kUlAM,Bs6,B,B
565,na,icCanwam,Tn,T,T
566,sa,SafkiwA,BvS,B,B
567,sa,SaraBAH,BvS,B,B
568,pra,sakwasya,Tp,T,T
569,sa,huMkAram,BvS,B,B
570,sa,balam,BvS,B,B
571,A,cUdAnwam,A1,A,A
572,sa,jalA,BvS,B,B
573,sa,vanAH,BvS,B,B
574,nis,sAriwam,Tp,T,T
575,snigXa,uRNaM,Ds,D,D
576,sam,upaviRtA,Tp,T,T
577,laGu,nagaryAm,K1,K,T
578,vaswra,XAraNam,T6,T,T
579,niH,AwmA,Bs6,B,B
580,gawa,sAra,Bs6,B,B
581,prApwa,kAlasya,Bs6,B,B
582,na,pravqwwiH,Bsmn,B,B
583,A,KyAwaM,Tp,T,T
584,awi,balEH,Bs6,B,B
585,aswra,japwena,Km,K,T
586,xama,yajFAH,Bs6,B,B
587,awi,ciram,Tp,T,T
588,sawwva,jijFAsAM,Bs6,B,B
589,avinIwa,manuRyaM,Bs7,B,B
590,aXaH,muKI,Bs6,B,B
591,vyakwa,saMjFakaH,Bs6,B,B
592,BAva,ASriwaH,T3,T,T
593,waru,kotarAw,T6,T,T
594,pafka,magnAnAm,T7,T,T
595,niwya,apakAriRu,Bs6,B,B
596,sa,XEryam,BvS,B,B
597,vqka,uxaraH,BsU,B,B
598,su,saMwuRtA,Tp,T,T
599,kopa,jvaliwAm,T3,T,T
600,pIwa,vaswravaw,K1,K,T
601,Agawa,vijFAnA,Bs6,B,B
602,Kinna,manaskA,Bs6,B,B
603,sarva,suKasya,K1,K,T
604,xur,BikRam,Tp,T,T
605,xivya,puruRAya,K1,K,T
606,praNAma,Axi,Bs6,B,B
607,newra,viRayIkqwya,T3,T,T
608,vanya,jIvAnAM,K1,K,T
609,sa,pawnI,BvS,B,B
610,koti,aXipawiH,T6,T,T
611,vexa,AwmA,Bs6,B,B
612,prawyAgawa,prANA,Bs6,B,B
613,nir,apekRa,Bvp,B,B
614,xeva,Awmake,Bs6,B,B
615,na,nyUnam,Tn,T,T
616,xivya,siMha,K1,K,T
617,mahaw,nAgam,K1,K,T
618,mahA,PalaH,Bs6,B,B
619,nara,SArxUla,K5,K,T
620,xaXi,priyaH,Bs6,B,B
621,na,viSvAsasya,Tn,T,T
622,brahma,varjiwaH,Bs3,B,B
623,nAnA,rUpAn,Bs6,B,B
624,sa,afgAH,BvS,B,B
625,sawya,AwmA,Bs6,B,B
626,sakwa,Awma,Bs6,B,B
627,Xarma,mUrwyA,Bs6,B,B
628,sa,karNAHn,BvS,B,B
629,afga,colakena,T6,T,T
630,pafkwi,cinwane,T6,T,T
631,na,wiWinA,Bsmn,B,B
632,prasanna,upaciwaM,Ds,D,D
633,sOmya,vapuH,Bs6,B,B
634,sammArjana,parAH,Bs6,B,B
635,BIma,vikramaH,BsU,B,B
636,laliwa,wripuNdra,K1,K,T
637,a,XanaH,Bsmn,B,B
638,xeva,sanniXO,T6,T,T
639,na,SASvawam,Tn,T,T
640,Sabxa,wanmAwre,K7,K,T
641,wIkRNa,xaMRtraH,Bs6,B,B
642,kRawa,afgena,K1,K,T
643,guhA,muKAw,T6,T,T
644,awi,prasannam,K1,K,T
645,SOrya,pUrNAm,T3,T,T
646,aXyApaka,paxam,K7,K,T
647,BrAnwi,cewasam,K1,K,T
648,xqDa,saMBARaH,Bs6,B,B
649,maXyama,puwrasya,K1,K,T
650,sawya,niwyaH,Bs7,B,B
651,afgerikA,haswA,Bv,B,B
652,na,yaWAvaw,Tn,T,T
653,gala,pASaM,T6,T,T
654,na,xqSya,Tn,T,T
655,a,viparIwAnAM,T6,T,T
656,jiwa,haswAH,Bs3,B,B
657,xvAra,niroXena,T6,T,T
658,uxxaNda,svaBAvAH,Bs6,B,B
659,waw,sOnxaryam,T6,T,T
660,su,vicArya,Tg,T,T
661,eka,arNavAM,Bs6,B,B
662,SAraxvawa,AxayaH,Bs6,B,B
663,bANa,gocare,T6,T,T
664,arvAk,srowasAm,Bs6,B,B
665,awisaMkRepa,viswaraH,T3,T,T
666,an,alpam,Tn,T,T
667,brahma,ujJaH,BsU,B,B
668,prIwa,manAH,Bs6,B,B
669,hawa,sEnyaH,Bs6,B,B
670,sam,upalAliwA,Tp,T,T
671,Xarma,SIlAnAM,Bs6,B,B
672,viSva,Awmane,K1,K,T
673,kRINa,inxriyaM,Bs6,B,B
674,mahA,ipsavaH,Bs6,B,B
675,kRawi,mUlyaM,T6,T,T
676,swamBa,AkAraH,K1,K,T
677,na,karmaNi,Tn,T,T
678,evam,viXe,Bs6,B,B
679,xakRiNa,uwware,Ds,D,D
680,xakRiNa,uwwarawaH,Ds,D,D
681,nija,karAByAm,K1,K,T
682,nixrA,anviwaH,T3,T,T
683,mahaw,uxayaH,Bs6,B,B
684,su,SIlA,Bvp,B,B
685,eka,agram,Bs6,B,B
686,sa,kalakalam,BvS,B,B
687,Sakran,purogamAn,Bs6,B,B
688,kAnwi,yukwam,T3,T,T
689,gawa,AsavaH,Bs6,B,B
690,naRta,AwmAnaH,Bs6,B,B
691,su,manwriwam,K1,K,T
692,a,xaNdyA,Tn,T,T
