,word1,word2,tag,BTag,label
312,kumBI,XAnyEH,Bs6,B,B
313,gawa,Agawam,DiV,D,D
314,aBi,gamya,Tg,T,T
315,su,vIryam,Bs7,B,B
316,su,guNam,Bs6,B,B
317,rakwa,sPulifgA,K1,K,T
318,rAjIva,locana,BsU,B,B
319,vi,mukwena,Tp,T,T
320,na,viGnena,Tn,T,T
321,prawyakRa,XarmANaH,Bs6,B,B
322,pra,SikRiwA,Tp,T,T
323,Bavaw,praxawwAni,T6,T,T
324,BIma,parAkramaH,Bs6,B,B
325,spaRta,xaNdasya,Bs6,B,B
326,nir,aMkuSaH,Bvp,B,B
327,a,yukwawA,Tn,T,T
328,an,asUyakaH,Bsmn,B,B
329,Amra,Palena,K7,K,T
330,mUrKa,pragalBena,DiV,D,D
331,xaSan,AwmA,Bs6,B,B
332,sa,vixyuwaH,BvS,B,B
333,SleRma,aXikaH,Bs7,B,B
334,Saswra,niwyaH,Bs7,B,B
335,viviXa,aswrANAm,K1,K,T
336,xaSa,parAn,Bvsp,B,B
337,sajjana,BARiwam,T3,T,T
338,na,sAPalyam,Tn,T,T
339,a,saMKyeyA,Tn,T,T
340,mawsya,maXye,T6,T,T
341,prawiveSi,rAjye,T6,T,T
342,vixyA,aXikam,T3,T,T
343,guru,kAya,K1,K,T
344,loka,sAkRikam,Bs6,B,B
345,xamana,maharReH,K7,K,T
346,a,rogaH,Bsmn,B,B
347,xuRta,mexasaH,Bs7,B,B
348,na,SivABiH,Tn,T,T
349,bAbU,mahASayasya,K2,K,T
350,mAMsa,asqk,Ds,D,D
351,brAhmaNa,qRaBe,K5,K,T
352,piwq,AxO,Bs6,B,B
353,kRamA,niwyaH,Bs7,B,B
354,ku,pAwrakEH,K1,K,T
355,sneha,pUrvaH,T3,T,T
356,prawi,pUjayan,Tp,T,T
357,rAjya,AxiBiH,Bs6,B,B
358,kiMkarwavya,vimUDA,T3,T,T
359,lakRmaNa,reKayA,K1,K,T
360,XUma,kewana,Bs6,B,B
361,su,rakRiwA,Tp,T,T
362,pra,karwavyaM,Tp,T,T
363,pApa,buxXiH,Bs6,B,B
364,nir,upAyA,Bvp,B,B
365,aRtan,xikRu,Km,K,T
366,vijiwa,inxriyaH,Bs3,B,B
367,vikqwa,ceRtO,Bs6,B,B
368,na,SocyAn,Tn,T,T
369,niH,Bayasya,Bs5,B,B
370,kRAma,nivAraNam,T6,T,T
371,kRINa,kalmaRAH,Bs6,B,B
372,BikRA,jIvina,Bs6,B,B
373,manuja,wApasena,K2,K,T
374,sa,lAjam,BvS,B,B
375,sva,janeRu,T6,T,T
376,sahasra,aMSuH,Bs6,B,B
377,nArAyaNan,samaH,Bs6,B,B
378,aBIRta,hanane,K1,K,T
379,muni,veRAH,Bv,B,B
380,uRNa,woye,K1,K,T
381,sa,sarRapaM,BvS,B,B
382,wri,vikrame,Bs6,B,B
383,SiRta,AkqwiH,K1,K,T
384,inxra,AxyAn,Bs6,B,B
385,saMSraya,vAsinAm,T6,T,T
386,Awma,wyAgI,T6,T,T
387,paviwra,mOliH,Bs6,B,B
388,wvaw,arWam,T4,T,T
389,kAla,parIwaH,T3,T,T
390,Cinna,sWUNaM,Bs3,B,B
391,sva,BAgyam,T6,T,T
392,eka,vaswrAM,Bs6,B,B
393,gADa,varcasaH,Bs6,B,B
394,waw,prapUrwO,T6,T,T
395,piSiwa,aSanaH,Bs6,B,B
396,prAk,muKaH,Bs6,B,B
397,nir,IhaM,Bs6,B,B
398,parama,sunxarI,K1,K,T
399,yAna,praveSAya,T7,T,T
400,varAha,rUpiNaM,Bs6,B,B
401,buxZXi,mohiwaH,T6,T,T
402,sa,vixyAnAm,BvS,B,B
403,a,sakqw,Tn,T,T
404,hawa,rAjAni,Bs6,B,B
405,paFca,varRasya,Tdt,T,T
406,yaWA,viXam,A1,A,A
407,viRaNNa,vaxanaH,Bs6,B,B
408,vyavahAra,patuH,T7,T,T
409,bahu,SruwaH,Bs6,B,B
410,Saf?kiwa,ciwwA,Bs6,B,B
411,vikrama,buxXayaH,Bs6,B,B
412,paviwriwa,lokaH,Bs6,B,B
413,na,vaSa,Tn,T,T
414,a,viXavA,Bsmn,B,B
415,karpUragOra,aBiXAnam,Bs6,B,B
416,viBakwa3,puRpaH,Bs7,B,B
417,asmawa,gqham,T6,T,T
418,sama,xuHKasuKaH,Bs6,B,B
419,arXa,canxram,K1,K,T
420,sa,rOkRyam,BvS,B,B
421,a,nisqRtAni,Tn,T,T
422,Awma,guNEH,K1,K,T
423,Sukla,puRpANi,K1,K,T
424,laguda,AyuXEH,Bs6,B,B
425,pracCanna3,rawna,Bs7,B,B
426,xivaH,okasaH,Bs6,B,B
427,xivA,rAwraM,DiV,D,D
428,sa,BeRajA,BvS,B,B
429,ku,cakram,Tk,T,T
430,na,boXA,Tn,T,T
431,vAnara,SAvakaH,T6,T,T
432,su,mafgalI,Tp,T,T
433,nir,ASA,BvP,B,B
434,xus,warAm,Bsp,B,B
435,arha,varNaM,K1,K,T
436,Xarma,ArAmAH,Bs6,B,B
437,pANi,svanikAH,Bs6,B,B
438,maw,vqkReRu,T6,T,T
439,apa,varNiwam,Tp,T,T
440,cawurviMSawi,pafkajam,Km,K,T
441,mAyA,upajIvanaH,Bs6,B,B
442,upa,sWiwAnAm,Tp,T,T
443,sva,maNdam,Tg,T,T
444,su,vAcyAH,Tp,T,T
445,an,uwwamaH,Bs5,B,B
446,sa,prema,BvS,B,B
447,mqxu,kAle,K1,K,T
448,sva,anuRTiwAH,T7,T,T
449,Gora,Awmane,K1,K,T
450,sa,pawnIkAya,BvS,B,B
451,eka,agrawAM,T2,T,T
452,kqpANa,haswam,Bs6,B,B
453,xAra,nispqhaH,T7,T,T
454,amara,saMkASaH,T6,T,T
455,uwWAna,XIraM,T7,T,T
456,nir,xayaM,Bvp,B,B
457,rAjya,sevAyAm,T6,T,T
458,sa,paricCaxaH,BvS,B,B
459,gulPa,pAxeRu,Ds,D,D
460,eka,nikewanAH,Bs6,B,B
461,sva,cariwEH,T3,T,T
462,kotara,Alayam,Bs6,B,B
463,SeRa,jIvanam,K1,K,T
464,nir,arWA,Bs5,B,B
465,afgaxa,AxIn,Bs6,B,B
466,sa,kranxam,BvS,B,B
467,lamba,kUrcam,Bs6,B,B
468,vqxXi,AxIn,Bs6,B,B
469,kalpa,sAXyam,T3,T,T
470,na,parigrahe,Tn,T,T
471,xala,agram,T6,T,T
472,kqwa,arWaH,Bs6,B,B
473,manorama,AgAra,K1,K,T
474,na,vyaBicAreNa,Bsmn,B,B
475,kArya,niyukwA,T7,T,T
476,na,aBijFam,Tn,T,T
477,vi,nirmiwam,Tp,T,T
478,na,cewasaH,Bs6,B,B
479,sahana,SIlaH,Bs6,B,B
480,vi,naRtAH,Tp,T,T
481,vi,vqxXeByaH,Tp,T,T
482,a,kRaraM,Bsmn,B,B
483,muni,SApaH,T6,T,T
484,paraspara,ASleRAw,T6,T,T
485,viwwa,parEH,Bs6,B,B
486,A,xAwuM,Tp,T,T
487,SArfga,pANe,Bv,B,B
488,sa,xuKam,BvS,B,B
489,pra,vqwwam,Tp,T,T
490,a,surAH,Tn,T,T
491,sarvaxeva,aBiXasya,K1,K,T
492,sa,anuvAsanEH,BvS,B,B
493,sama,pramuxiwA,T2,T,T
494,praSAsana,anuSAsanam,Ds,D,D
495,sam,AcAraH,Tp,T,T
496,jIvanwi,mUlaM,T6,T,T
497,nivqwwi,lakRaNaH,Bs6,B,B
498,ApoWiwa,agraM,Bs6,B,B
499,eksapresa,AKyA,Bs6,B,B
500,upa,jIvawaH,Tp,T,T
501,a,xravaM,Tn,T,T
502,rakwa,muKaH,Bs6,B,B
503,sa,wvaraH,Bvs,B,B
504,jiwa,AsanO,Bs6,B,B
505,anXakAra,AvqwA,T3,T,T
506,xawwa,ciwwaH,Bs6,B,B
507,roga3,upacAram,T6,T,T
508,sam,AganwukAnAm,Tp,T,T
509,yaw,arWam,T4,T,T
510,jiwa,AwmanA,T3,T,T
511,sahasra,pawiH,T6,T,T
512,yajFa,AwmA,Bs6,B,B
513,nawa,newrayA,Bs6,B,B
514,agniveSa,kqwe,T3,T,T
515,uwa,Aho,A1,A,A
516,manxira,xiSi,T6,T,T
517,BIma,AvarwaH,Bs7,B,B
518,vaswra,putabanXa,T6,T,T
519,sa,viroXam,BvS,B,B
520,mahA,xqwiH,Bs6,B,B
521,yaWA,pUrvaM,A1,A,A
522,bahu,xvAraM,Bs6,B,B
523,sa,BaraxvAjaHn,BvS,B,B
524,viBakwa,anwaram,Bs6,B,B
525,kalA3,vihInaM,T3,T,T
526,na,kiFcanAyA,Tn,T,T
527,RAN,mAsikyAm,Tds,T,T
528,su,xAruNam,Tg,T,T
529,bahu,viGnaM,Bs6,B,B
530,niSA,anviwam,T3,T,T
531,rasa,wanmAwre,K7,K,T
532,rAma,Bavanasya,T6,T,T
533,vixIpwa,wejA,Bs6,B,B
534,Saswra,pANiH,Bs6,B,B
535,sarvva3,oRaXim,K1,K,T
536,sa,mUlaH,BvS,B,B
537,sneha,sOmyawA,T3,T,T
538,bAla,Xvanim,T6,T,T
539,manas,snAnam,T3,T,T
540,XyAna,nimagna,T7,T,T
541,hawa,sUwAn,Bs6,B,B
542,lohiwa,rAjI,Bs7,B,B
543,puruRa,SreRTEH,T6,T,T
544,pariGa,upamEH,T3,T,T
545,Sila,uccayAH,T6,T,T
546,niH,upaxravAH,Tp,T,T
547,saMkalpa,roXasam,Bs6,B,B
548,Agamana,uxxeSam,T6,T,T
549,sarva3,wawwveRu,K1,K,T
550,SAnwa,svaBAvasya,Bs6,B,B
551,jAwa,SabxaM,Bs3,B,B
552,a,pAwraM,Tn,T,T
553,BrukutI,muKAH,Bs7,B,B
554,manxa,AxyEH,Bs6,B,B
555,guNa,upapannAn,T3,T,T
556,nala,AkArAH,Bs6,B,B
557,prawi,puruRam,A1,A,A
558,jAra,prAsAxam,T6,T,T
559,aNda,pipIlikam,Ds,D,D
560,sa,arxXam,BvS,B,B
561,sixXa,haswAH,Bs6,B,B
562,sU,xUram,Tp,T,T
563,vi,lupwa,Tp,T,T
564,su,saMwraswO,K1,K,T
565,xvija,AwiH,Bs6,B,B
566,pari,kalpya,Tg,T,T
567,prawyakRa,rUpAH,Bs6,B,B
568,a,uwwarA,Bsmn,B,B
569,xagXa,pakRaH,Bs6,B,B
570,bAbU,mahAwmanaH,K2,K,T
571,uwwama,afgEH,Bs6,B,B
572,jala,kalaSA,T6,T,T
573,kRipra,pAkA,Bs7,B,B
574,aXyakRa,mahoxayaH,K2,K,T
575,vqRaxaMSa,muKAH,BvU,B,B
576,vexavawI,nAmnA,Bs6,B,B
577,rAya,mahASayam,K2,K,T
578,rasa,oxanam,Ds,D,D
579,a,yuXyamAnaH,Tn,T,T
580,na,pariciwA,Tn,T,T
581,sva,XarmA,T6,T,T
582,Awma,karma,T6,T,T
583,mqxu,swIkRNena,DiV,D,D
584,mugXa,IkRaNA,Bs6,B,B
585,hawa,vIrAH,Bs6,B,B
586,xaSa,saMKyA,K1,K,T
587,nir,buxXeH,Bvp,B,B
588,miwra,vawsalaH,T7,T,T
589,na,aBraH,Tn,T,T
590,na,aSnawaH,Tn,T,T
591,viRaya,ASliRtaM,T3,T,T
592,paFca,AgneyAH,Bvsp,B,B
593,snAna,Axi,Bs6,B,B
594,na,gaNiwAni,Tn,T,T
595,mqcCa,kati,T6,T,T
596,mahA,bAhaH,Bs6,B,B
597,aXimAMsA,abuxaM,Ds,D,D
598,kaRAya,maXuraM,Ds,D,D
599,yaWA,waWam,A1,A,A
600,Bagna,SaswraH,Bs6,B,B
601,gamBIra,woyABiH,Bs6,B,B
602,sa,kalpaM,BvS,B,B
603,pAxa,aBinirvqwwaH,T7,T,T
604,agra,gaNya,T7,T,T
605,lOha,SqMKalA,K1,K,T
606,paxma,nABaM,Bs6,B,B
607,yaWA,ruci,A1,A,A
608,pari,sWiwim,Tp,T,T
609,sva,AjIvikAm,T6,T,T
610,eka,akRaraM,Bs6,B,B
611,aSiwa,AxIni,Bs6,B,B
612,sa,sammAnaM,BvS,B,B
613,BAri,manasA,K1,K,T
614,paFca,afgIM,Bs6,B,B
615,saha,jAwayaH,BvS,B,B
616,upa,spqSya,Tg,T,T
617,sa,Axaram,BvS,B,B
618,na,Aximaw,Tn,T,T
619,SuBa,karmaNi,K1,K,T
620,a,kiMcanaH,Tm,T,T
621,hawa,buxXiRu,Bs6,B,B
622,xakRa,sapwamAn,Bs6,B,B
623,palAyiwu,kAmAH,Bv,B,B
624,maXye,pravAhaM,A7,A,A
625,svAsWya,lABaH,T6,T,T
626,saxXarmma,varwmani,T6,T,T
627,ganXarva,kanyAyAH,T6,T,T
628,upa,arjane,Tp,T,T
629,ucca,aXikAriRu,K1,K,T
630,svakIya,Alinxe,K1,K,T
631,krIwa,citikaH,K1,K,T
632,anu,xAnam,Tp,T,T
633,vijiwa,ariNA,Bs3,B,B
634,pra,harRiwAH,Tp,T,T
635,yukwi,bAhyena,T5,T,T
636,sam,Axqwa,Tp,T,T
637,Svewa,vAhAw,Bs6,B,B
638,safkrAnwi,AxO,Bs6,B,B
639,nUwana,paxAnAm,K1,K,T
640,vqRaBa,SakatyAm,K7,K,T
641,aWarvan,rUpam,Bs6,B,B
642,BU,lokasya,K7,K,T
643,Baya,rasam,K1,K,T
644,canxanapura,nAmni,K7,K,T
645,hari3,ISvaraH,T6,T,T
646,puRpiwa,pAxapam,Bs6,B,B
647,sa,vikAram,Bs3,B,B
648,pUrva,jAnAm,T1,T,T
649,paxA,afgaM,Bs6,B,B
650,aBi,saMSriwAH,Tp,T,T
651,yukwa,ceRtasya,Bs6,B,B
652,sa,karuNam,Bvs,B,B
653,prakASa,AwmA,Bs6,B,B
654,niwya,wqpwAH,Bs6,B,B
655,mahaw,xuHKam,K1,K,T
656,pAnWin,AvAsam,T7,T,T
657,xiva,okasaH,Bs6,B,B
658,Awma,saMsWam,Bs6,B,B
659,viviXa,varNAnAM,Bs6,B,B
660,sa,viniScaye,BvS,B,B
661,na,kiFcana,Bsmn,B,B
662,sam,wqpwi,Tp,T,T
663,guNa,AwmakaM,Bvsp,B,B
664,kArwika,anwe,Bs6,B,B
665,sa,kAmam,BvS,B,B
666,eka,rUpyakasya,K1,K,T
667,prahlAxa,puwraH,T6,T,T
668,buxXi,praxIpena,K6,K,T
669,rAjya,Axi,Bs6,B,B
670,viXi,hInam,T3,T,T
671,yuga,pramANA,Bs6,B,B
672,SreRTa,vaswUni,K1,K,T
673,upa,yukwasya,A1,A,A
674,uxXUwa3,puRpam,Bs6,B,B
675,sapwa,AwmakaM,Bs6,B,B
676,uRNa,saxanaM,K1,K,T
677,kqRNa,pifgalaH,K1,K,T
678,kubera,AyiwEH,T3,T,T
679,brAhmaNa,SreRTaH,K1,K,T
680,nir,maryAxAH,Bs6,B,B
681,kAma,rUpiNI,Bs6,B,B
682,anu,prApya,Tp,T,T
683,kurun,nanxanAH,T6,T,T
684,anu,rUpO,A1,A,A
685,xvi,raxasya,Bs6,B,B
686,su,avaklinnAM,Tp,T,T
687,a,pUrvasya,Bsmn,B,B
688,prakRINa,puNya,Bs6,B,B
689,kRaNa,kAlam,Km,K,T
